,number,value,datetime_start,datetime_complete,duration,params_batchsize,params_beta_1,params_beta_2,params_cnn_dropout_factor,params_cnn_kernel_size,params_dense_dropout_factor,params_epsilon,params_learning_rate,params_nb_cnn_input_kernel,params_nb_cnn_layers,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_kernel0,params_num_kernel1,params_num_kernel2,params_num_kernel3,state
10,10,0.07611992955207825,2021-08-13 20:38:47.172732,2021-08-13 20:42:09.327892,0 days 00:03:22.155160,256,0.8559696660979901,1.8667506692495133,0.0001853711772814015,6,0.49373642298870124,0.5290233209799216,0.0015525902054822293,11.952119641201344,2,1,127.7672725331409,,,,50.459367741781854,4.327672400683489,,,COMPLETE
11,11,0.19369421899318695,2021-08-13 20:42:09.363924,2021-08-13 20:47:10.624268,0 days 00:05:01.260344,256,0.5770672467964356,0.3032375200322087,0.3338416258790687,2,0.4303396653813254,1.0231190909810786e-05,0.0002749766549065821,8.997388988323847,1,1,5.737089076289491,,,,120.44767272403305,,,,COMPLETE
12,12,0.39544370770454407,2021-08-13 20:47:10.656297,2021-08-13 21:02:04.875697,0 days 00:14:54.219400,256,0.22821446638522896,0.16702889945300367,0.3479858118116954,5,0.032954701948808944,1.642749243020508e-05,0.000604379177309375,50.82665395594584,2,2,103.83792311924383,7.295448218396946,,,34.23269994689384,11.761789211258641,,,COMPLETE
13,13,0.29289016127586365,2021-08-13 21:02:04.916042,2021-08-13 21:09:36.378354,0 days 00:07:31.462312,256,0.20176679162467537,0.40065191328654626,0.3350181247074779,5,0.1962350052019363,6.0129456987175335e-05,0.0014984555507574558,50.352026908700665,2,3,125.15843221066895,5.413334376636797,126.57972328410573,,34.64832315865823,10.854299308782227,,,COMPLETE
14,14,0.26480722427368164,2021-08-13 21:09:36.419795,2021-08-13 21:15:30.142194,0 days 00:05:53.722399,256,0.2038449267898265,0.3062660103631726,0.31260726015776374,5,0.1937650801986386,5.9958466914786075e-05,0.0009223003303986443,52.76430944363509,2,4,124.4381500648359,4.095179454035569,113.8450016741608,124.99715830097874,34.10421467488347,16.52602825830105,,,COMPLETE
15,15,0.40114274621009827,2021-08-13 21:15:30.182149,2021-08-13 21:29:36.436949,0 days 00:14:06.254800,256,0.16542308496278527,0.1627867314084242,0.35274931587262914,5,0.08725936143243193,0.014407915939599633,0.0004471479127517443,47.955165718268326,2,3,111.70935138190525,9.289508910187983,98.66074069441807,,55.83443930391349,16.36514386213928,,,COMPLETE
16,16,0.05192472040653229,2021-08-13 21:29:36.475049,2021-08-13 21:34:33.898677,0 days 00:04:57.423628,256,0.12772244664075819,0.16113925132808007,0.39386886501223783,5,0.06138208357980246,0.1923876858266661,0.00010403681949783544,47.597187809808894,2,3,83.43569311367236,12.690094024872138,5.032416721154938,,69.33869854342173,18.307949455815805,,,COMPLETE
17,17,0.2628486454486847,2021-08-13 21:34:33.940716,2021-08-13 22:30:57.933195,0 days 00:56:23.992479,16,0.14908954819233852,0.13875815852640971,0.26745187946857435,4,0.07949433673983872,0.026672950397823487,0.00041908879536033366,127.6908066839272,3,4,33.679848008082075,11.020604598948898,57.27662122753391,31.512250037436182,72.18207222319352,6.1435697641514055,119.15033195432208,,COMPLETE
18,18,0.3035961389541626,2021-08-13 22:30:57.973242,2021-08-13 23:11:42.021292,0 days 00:40:44.048050,32,0.2796500435082266,0.20951517311884643,0.37983042193951966,5,0.015265026017935415,0.029401867726470295,0.0005160572338996492,37.4926046099402,2,3,18.217169294953045,10.990630330618902,12.156784134250922,,48.25535300786993,22.789869354616208,,,COMPLETE
19,19,0.44595471024513245,2021-08-13 23:11:42.061329,2021-08-13 23:35:26.876449,0 days 00:23:44.815120,256,0.2637820462950528,0.10867610028871327,0.4868708418970191,6,0.11176019778732935,0.0011836514008202062,0.0001548226210475641,84.86773410096129,3,2,58.604691044031846,7.5329315962111645,,,22.652694120508045,49.83643217552532,118.87783145069325,,COMPLETE
20,20,0.3809383511543274,2021-08-13 23:35:26.910480,2021-08-14 00:22:33.644583,0 days 00:47:06.734103,256,0.139029828226975,0.10325109202597937,0.4976232677720183,6,0.12209537599548702,0.001960391984840386,0.00013523814279150882,123.37399829640245,3,3,52.0214762553259,4.220118208316293,74.46076662920606,,17.924123318574654,126.05789244229152,117.88679049326485,,COMPLETE
21,21,0.4238506257534027,2021-08-14 00:22:33.682028,2021-08-14 00:49:47.240272,0 days 00:27:13.558244,256,0.2613984353362572,0.13277365998241364,0.4601757754207477,5,0.10601150174051302,0.0010868464708752201,0.00019616543386050952,73.09692118499225,3,2,102.45622816080076,7.489558362374563,,,26.628868561820696,47.08003491781545,52.71502896763118,,COMPLETE
22,22,0.4229523241519928,2021-08-14 00:49:47.330178,2021-08-14 01:06:42.049083,0 days 00:16:54.718905,256,0.2810192728551611,0.12831486433391157,0.4564224941865432,6,0.10965592028590318,0.0014418953085066325,0.00019836731053436165,76.15159888437042,3,2,73.56509467863324,15.984457594345537,,,23.31875291600037,49.967777848496986,60.15660512259338,,COMPLETE
23,23,0.4205666780471802,2021-08-14 01:06:42.088795,2021-08-14 01:28:18.704129,0 days 00:21:36.615334,256,0.29614041615386033,0.12096652083654634,0.45974855327740816,6,0.23740273474911877,0.001076705016647743,0.00019946445094450897,81.60073330799226,3,2,65.66685812669643,16.122330581797975,,,24.086461961979484,50.820240761842484,58.97656516370318,,COMPLETE
