,number,value,datetime_start,datetime_complete,duration,params_batchnorm,params_batchsize,params_beta_1,params_beta_2,params_dense_dropout_factor,params_epsilon,params_input_dropout_factor,params_learning_rate,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_hidden4,params_num_hidden5,params_num_hidden6,params_num_hidden7,params_num_hidden_input,state
0,0,0.07611992955207825,2021-08-06 21:31:27.308382,2021-08-06 21:33:33.412700,0 days 00:02:06.104318,True,512,0.20367929572796653,1.3148089299164525,0.05625666162128584,3.294630812244191e-05,0.17955544536875206,0.09628605508691387,8,7.92125562818222,66.57252022778889,257.9774706697009,13.945644560583283,9.707837283908114,26.951501685080153,76.59708808240408,8.73932580970313,44.29045490499297,COMPLETE
1,1,0.07611992955207825,2021-08-06 21:33:33.458740,2021-08-06 21:37:01.453959,0 days 00:03:27.995219,False,64,0.15132279976383184,1.24505961998311,0.26381981228735724,0.00017890718869439655,0.13034813785738392,0.017515929517496472,2,4.840508330973922,158.18636246826713,,,,,,,147.2076642474654,COMPLETE
2,2,0.07611992955207825,2021-08-06 21:37:01.491533,2021-08-06 21:38:13.736742,0 days 00:01:12.245209,False,256,0.5905564310014725,0.27878987621159407,0.24656193673333948,1.1125967761371758e-06,0.4686634870821061,0.0011451123357868432,4,153.0545983593819,275.5374946805249,6.705851122453579,170.47495639680275,,,,,57.240691255330205,COMPLETE
3,3,0.07610520720481873,2021-08-06 21:38:13.789134,2021-08-06 21:45:00.353552,0 days 00:06:46.564418,False,64,0.12807827064678776,0.6489078697746126,0.3075434366240066,3.1124014849388415e-06,0.08271909060792393,0.07222327948789499,4,36.65327658194054,432.5257189851209,34.94807877280931,278.3038587446989,,,,,65.12094932623326,COMPLETE
4,4,0.07611992955207825,2021-08-06 21:45:00.408603,2021-08-06 22:32:28.912471,0 days 00:47:28.503868,True,16,0.2550580228562652,1.6694105435904258,0.21894443794576246,2.6688231097666883e-07,0.20921336999619616,0.0004766901720282288,6,68.10021033252127,421.4881071237785,63.470084459049986,147.62026163101692,420.6158203381471,133.23924838345278,,,210.4000560270701,COMPLETE
5,5,0.07611992955207825,2021-08-06 22:32:28.959253,2021-08-06 22:45:21.534766,0 days 00:12:52.575513,False,32,0.15668253068711707,0.15835588782015866,0.4558976794989164,0.0008891512953760532,0.29874184731914016,0.0011518722748839472,8,23.976908832467178,11.740499137736238,4.853792314671065,35.53532685751197,37.99642656052923,30.673454068507734,6.989728957410407,24.899517254132675,59.28684328510266,COMPLETE
6,6,0.07611992955207825,2021-08-06 22:45:21.584081,2021-08-06 22:47:00.608285,0 days 00:01:39.024204,False,256,1.3013853394251,0.5827622857270965,0.1736379387508259,8.110254243902554e-06,0.21398762411255146,0.00045620207752217597,7,11.051340570521337,13.690040209523117,125.57881271497905,6.7436151448811605,47.1000124116525,476.91112219609784,114.38021529532952,,99.15549008778129,COMPLETE
7,7,0.07611992955207825,2021-08-06 22:47:00.653327,2021-08-06 22:48:34.810830,0 days 00:01:34.157503,False,256,0.1428710792700773,0.24244761501285372,0.029295845310248647,1.6369098184398026e-06,0.25356500923627073,0.05258536372168685,5,112.16091709701996,12.350573613467395,49.0170365145121,314.7847816442889,39.0506114008915,,,,117.18657271904667,COMPLETE
8,8,0.12664565443992615,2021-08-06 22:48:34.862417,2021-08-06 23:45:37.005590,0 days 00:57:02.143173,True,16,0.760136794077009,0.6659798395328503,0.27347681635807713,0.00027276382546192833,0.16159311968358414,0.04783964165361544,3,5.6784956556737205,9.077888613813272,15.69760951643295,,,,,,157.0621392346006,COMPLETE
9,9,0.44082996249198914,2021-08-06 23:45:37.057638,2021-08-06 23:47:51.990000,0 days 00:02:14.932362,True,512,0.4732822158998207,0.3741172197383217,0.18444913269102237,2.4512910742496858e-05,0.1293188507068661,0.0016356773596181663,7,156.14955961009696,68.38214993440356,129.1738414998809,118.15054741525317,28.56163203380728,16.809167906803015,317.20520072238605,,80.10328885521128,COMPLETE
10,10,0.1467617005109787,2021-08-06 23:47:52.045275,2021-08-07 00:00:02.282765,0 days 00:12:10.237490,True,128,0.3427465103551077,0.1005538982005816,0.11660531967544235,0.506335225141905,0.00659262071223124,0.00010349847710627937,6,430.54124045816513,42.04470333395057,511.6829236991746,60.63702764567815,4.069792243081148,6.012421313692573,,,483.1581537887557,COMPLETE
11,11,0.11122728139162064,2021-08-07 00:00:02.331809,2021-08-07 00:12:42.916989,0 days 00:12:40.585180,True,128,0.4451395329290528,0.14746120433016566,0.12009570971663305,0.5968032849514686,0.029345775002323785,0.00010018770178181463,6,502.78252087570473,42.582191201870884,510.57028527253675,65.14754940668291,4.031589540807071,4.288216677269246,,,488.7374492834097,COMPLETE
12,12,0.3510293662548065,2021-08-07 00:12:42.961806,2021-08-07 00:22:44.730510,0 days 00:10:01.768704,True,128,0.3433434205691392,0.10044527155992906,0.10669954586812111,0.024492302564463726,0.008673004986641003,0.00010043366078941511,7,506.7072550047758,41.75689445100593,449.5807104943553,56.39043142380824,9.059975404355251,5.055586188474857,497.9664033395664,,481.5388829113633,COMPLETE
13,13,0.41950637102127075,2021-08-07 00:22:44.783520,2021-08-07 00:25:38.748447,0 days 00:02:53.964927,True,512,0.7476244474320373,0.3557367320676622,0.13521617432746713,0.014824642402192195,0.07335556545585177,0.007460076024268006,8,237.6225607647518,97.31348928043681,188.84571831377943,39.237795282368616,15.729595843672266,10.954356063098736,495.1738572926755,368.33801745209905,303.60533238062055,COMPLETE
14,14,0.07611992955207825,2021-08-07 00:25:38.794972,2021-08-07 00:27:59.992861,0 days 00:02:21.197889,True,512,1.0897432898122432,0.35490690905914596,0.35787373372596776,0.01189511382055912,0.09936287024989665,0.008134425716874102,8,222.99548348192883,104.4079774560265,157.72158167236975,23.25115346873848,17.09861330287219,13.823851659451746,466.2494652570857,482.70299830215106,282.61460945809836,COMPLETE
